Modelo;Conjunto;Métrica;cantopop;dance;dancehall;edm;electro;forro;gospel;happy;hard-rock;hardstyle;Média;Média Ponderada
GradientBoosting;Treino;F1-Score;0,861;0,671;0,818;0,618;0,611;0,896;0,868;0,867;0,844;0,850;0,790;0,790
GradientBoosting;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
GradientBoosting;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,791;-
AdaBoost;Treino;Precisão;0,683;0,382;0,593;0,253;0,390;0,777;0,642;0,563;0,440;0,550;0,527;0,527
AdaBoost;Treino;Recall;0,542;0,366;0,605;0,521;0,224;0,657;0,569;0,725;0,499;0,240;0,495;0,495
AdaBoost;Treino;F1-Score;0,605;0,374;0,599;0,340;0,284;0,712;0,603;0,634;0,468;0,334;0,495;0,495
AdaBoost;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
AdaBoost;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,495;-
KNeighbors;Treino;Precisão;0,747;0,610;0,762;0,535;0,661;0,764;0,751;0,785;0,811;0,733;0,716;0,716
KNeighbors;Treino;Recall;0,781;0,688;0,736;0,615;0,492;0,897;0,781;0,754;0,627;0,746;0,712;0,712
KNeighbors;Treino;F1-Score;0,764;0,646;0,749;0,572;0,564;0,825;0,766;0,769;0,708;0,740;0,710;0,710
KNeighbors;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
KNeighbors;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,712;-
DecisionTree;Treino;Precisão;1,000;0,760;1,000;0,747;0,991;0,995;1,000;0,928;1,000;1,000;0,942;0,942
DecisionTree;Treino;Recall;1,000;0,956;0,938;0,819;0,701;1,000;0,995;1,000;1,000;0,922;0,933;0,933
DecisionTree;Treino;F1-Score;1,000;0,847;0,968;0,781;0,821;0,998;0,997;0,963;1,000;0,960;0,933;0,933
DecisionTree;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
DecisionTree;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,933;-
SVC;Treino;Precisão;0,701;0,450;0,700;0,426;0,545;0,724;0,706;0,715;0,696;0,593;0,626;0,626
SVC;Treino;Recall;0,720;0,650;0,649;0,456;0,294;0,841;0,665;0,599;0,652;0,660;0,619;0,619
SVC;Treino;F1-Score;0,710;0,532;0,674;0,441;0,382;0,778;0,685;0,652;0,674;0,625;0,615;0,615
SVC;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
SVC;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,619;-
NaiveBayes;Treino;Precisão;0,619;0,336;0,597;0,387;0,497;0,663;0,707;0,670;0,594;0,467;0,554;0,554
NaiveBayes;Treino;Recall;0,715;0,529;0,559;0,369;0,212;0,889;0,729;0,454;0,370;0,599;0,542;0,542
NaiveBayes;Treino;F1-Score;0,664;0,411;0,577;0,378;0,298;0,760;0,718;0,541;0,456;0,525;0,533;0,533
NaiveBayes;Treino;Suporte;800;800;800;800;800;800;800;800;800;800;8000;8000
NaiveBayes;Treino;Acurácia;-;-;-;-;-;-;-;-;-;-;0,542;-
